Date,Probability,Lower_Threshold,Upper_Threshold,Signal,OBV,OBV_Change_5D,Conviction_Proxy,CMF_20,VIX_Percentile,Decision_Allocation,Observed_Bar,Valid_Feature_Row,Volatility,Target_Allocation,Available_Volatility,Available_Average_Volume,Execution_Open_Present,Mocked_Order_Size,Slippage,Order_Target
2022-03-22,0.49997222423553467,0.37507874015748033,0.6249212598425197,0,311136188.0,55317788.0,7,0.14286913644988372,65.35433070866141,0.0,True,True,0.021114986509827505,0.0,0.020811165192995765,12823623.1,True,0.0,0.0,0.0
2022-03-23,0.4738162159919739,0.3865625,0.6134375000000001,0,320825252.0,58027056.0,7,0.21780540365636886,60.9375,0.0,True,True,0.02106737813563061,0.0,0.021114986509827505,12531492.5,True,0.0,0.0,0.0
2022-03-24,0.4616010785102844,0.37368217054263564,0.6263178294573644,0,315021012.0,39861238.0,7,0.17944041833697777,65.89147286821705,0.0,True,True,0.015633755716804407,0.0,0.02106737813563061,12407031.0,True,0.0,0.0,0.0
2022-03-25,0.5018468499183655,0.40499999999999997,0.595,0,324061778.0,34777270.0,7,0.18457422274282587,53.84615384615385,0.0,True,True,0.015009843170185779,0.0,0.015633755716804407,11832272.7,True,0.0,0.0,0.0
2022-03-28,0.5040574073791504,0.42194656488549614,0.5780534351145038,0,318251486.0,16325194.0,7,0.13173936002183143,47.32824427480916,0.0,True,True,0.01551147795928016,0.0,0.015009843170185779,11578024.2,True,0.0,0.0,0.0
2022-03-29,0.3996211886405945,0.4386363636363636,0.5613636363636364,-1,325075942.0,13939754.0,7,0.20191506505669668,40.909090909090914,0.0,True,True,0.015543764860997202,0.0,0.01551147795928016,11154818.1,True,0.0,0.0,0.0
2022-03-30,0.4091303050518036,0.4531203007518797,0.5468796992481203,-1,332380710.0,11555458.0,7,0.19512185872387927,35.338345864661655,0.0,True,True,0.015746672777142992,0.0,0.015543764860997202,10755526.0,True,0.0,0.0,0.0
2022-03-31,0.43195921182632446,0.44604477611940296,0.553955223880597,-1,322626906.0,7605894.0,7,0.21260695176956293,38.059701492537314,0.0,True,True,0.016331844842031183,0.0,0.015746672777142992,10614426.6,True,0.0,0.0,0.0
2022-04-01,0.42197006940841675,0.4217407407407407,0.5782592592592593,0,313864440.0,-10197338.0,5,0.23017971628208708,47.40740740740741,0.0,True,True,0.015563930028079065,0.0,0.016331844842031183,10453350.0,True,0.0,0.0,0.0
2022-04-04,0.4188241958618164,0.436985294117647,0.5630147058823529,-1,296725024.0,-21526462.0,5,0.12613393677988663,41.544117647058826,0.0,True,True,0.01715739768039395,0.0,0.015563930028079065,10270370.8,True,0.0,0.0,0.0
2022-04-05,0.48664942383766174,0.4728832116788321,0.5271167883211679,0,315794116.0,-9281826.0,5,0.055441909522788275,27.73722627737226,0.0,True,True,0.0170050336147485,0.0,0.01715739768039395,10327289.1,True,0.0,0.0,0.0
2022-04-06,0.4632723033428192,0.4093478260869565,0.5906521739130435,0,303943626.0,-28437084.0,5,0.05780693372501707,52.17391304347826,0.0,True,True,0.017362016208105048,0.0,0.0170050336147485,10627341.5,True,0.0,0.0,0.0
2022-04-07,0.4566943645477295,0.3897482014388489,0.6102517985611511,0,317046512.0,-5580394.0,5,0.12234366274425512,59.71223021582733,0.0,True,True,0.016918089952879193,0.0,0.017362016208105048,10601650.5,True,0.0,0.0,0.0
2022-04-08,0.4495354890823364,0.4038571428571428,0.5961428571428572,0,329893974.0,16029534.0,7,0.18710926353091403,54.285714285714285,0.0,True,True,0.01704261450676334,0.0,0.016918089952879193,10628381.2,True,0.0,0.0,0.0
2022-04-11,0.4427598714828491,0.4085460992907801,0.5914539007092199,0,345972156.0,49247132.0,7,0.12983041331648176,52.4822695035461,0.0,True,True,0.0165385852795474,0.0,0.01704261450676334,10615080.0,True,0.0,0.0,0.0
2022-04-12,0.43720245361328125,0.3545774647887323,0.6454225352112677,0,367816824.0,52022708.0,7,0.16385721174299145,73.23943661971832,0.0,True,True,0.01585361935595818,0.0,0.0165385852795474,10870488.2,True,0.0,0.0,0.0
2022-04-13,0.4628082513809204,0.36136363636363633,0.6386363636363637,0,384471926.0,80528300.0,7,0.1804098908317852,70.62937062937063,0.0,True,True,0.01601177387251529,0.0,0.01585361935595818,11511992.0,True,0.0,0.0,0.0
2022-04-14,0.5304592847824097,0.39875,0.6012500000000001,0,376416476.0,59369964.0,7,0.10954280321509503,56.25,0.0,True,True,0.015436134871642061,0.0,0.01601177387251529,11995757.3,True,0.0,0.0,0.0
2022-04-15,0.521274209022522,0.38720689655172413,0.6127931034482759,0,371511054.0,41617080.0,7,0.05161264849035855,60.689655172413794,0.0,True,True,0.014445129114515887,0.0,0.015436134871642061,11780450.9,True,0.0,0.0,0.0
2022-04-18,0.49317577481269836,0.38720689655172413,0.6127931034482759,0,376664500.0,30692344.0,7,0.01239687124842256,60.689655172413794,0.0,True,True,0.014345734942070932,0.0,0.014445129114515887,11319485.3,True,0.0,0.0,0.0
