Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,612.5825484602901,2022-09-13,56.74621267758075,13.904695831000815,2022-09-14,53.58554201009436,13.130227154067818,-1963.2066153175688,-0.05647607510954846,Long,Closed,0
1,0,2858.833828362203,2022-09-13,56.74621267758075,64.89119697364158,2022-09-15,54.91168181359865,62.793349416390946,-5372.303439516611,-0.03311576108974417,Long,Closed,0
2,0,662.7230514629255,2022-12-28,63.54920434531878,16.846209048708264,2022-12-29,62.34312272996827,16.526489813332898,-832.6707873004644,-0.01977111372399387,Long,Closed,1
3,0,950.994956056844,2022-12-28,63.5572423933372,24.177046774778354,2023-01-02,63.82410448286417,24.278560575219533,205.32889375294428,0.003397088083845619,Long,Closed,1
4,0,162.2704643110103,2023-01-19,62.20666680838717,4.03772188249492,2023-01-20,62.76033771502104,4.07365965653291,81.73305355594795,0.008096947331641858,Long,Closed,2
5,0,1465.6703118534822,2023-01-19,62.20666680838717,36.469785896165796,2023-01-23,62.759477705380064,36.793881304082426,736.9748525913382,0.008083127821913746,Long,Closed,2
6,0,1061.558287625903,2023-02-03,57.855790890575825,24.566917722816797,2023-02-06,58.08488043376513,24.66419448408921,193.96079097413335,0.0031580810122385054,Long,Closed,3
7,0,915.3268832943485,2023-02-27,61.559445632112705,22.53880620310785,2023-02-28,62.71234203687621,22.960917032281223,1009.7773496980478,0.017920689154491437,Long,Closed,4
8,0,301.7012540704736,2023-06-02,67.94708444677475,8.199888235209727,2023-06-05,68.45255983580775,8.260889258718933,136.0417812790874,0.006636274904086318,Long,Closed,5
9,0,1726.6245899454316,2023-06-02,69.04013682392731,47.682559173356,2023-06-08,74.51391404301543,51.46302251190026,9352.01276467541,0.07845227208275446,Long,Closed,5
10,0,1372.8433708679183,2023-06-09,75.39651192105542,41.403040630953974,2023-06-14,77.11327326702455,42.34577840422437,2273.095614140833,0.02196066355997447,Long,Closed,6
11,0,1619.5708947551793,2023-06-15,76.02103236392357,49.248580562340855,2023-06-19,82.92253515544519,53.71956978282887,11074.504900874865,0.08994780986108875,Long,Closed,7
12,0,1546.9034027086998,2023-07-26,91.17205137495877,56.413742601542445,2023-07-27,95.5714122265513,59.135897109971225,6689.8366313604265,0.04743409192764683,Long,Closed,8
13,0,81.1221732750198,2023-10-12,150.85967802520295,4.8952259763896855,2023-10-13,150.48108039463804,4.882940911354406,-40.4908294759415,-0.003308597369864768,Long,Closed,9
14,0,979.0445007403164,2023-10-12,150.85967802520292,59.07933526161188,2023-10-16,150.52588798608798,58.94861714073292,-444.82325459974015,-0.0030117011481594924,Long,Closed,9
15,0,408.53185078203865,2023-12-18,150.15601918314286,24.537406569181062,2023-12-19,148.9806264856806,24.34533242754508,-529.0680930866727,-0.008624678269808372,Long,Closed,10
16,0,849.1814375748952,2023-12-21,143.36719433257022,48.69790407376454,2023-12-22,147.38285172092526,50.06191275930517,3311.261897018503,0.027198393524311113,Long,Closed,11
17,0,328.8069833448505,2024-03-06,175.54087025521363,23.087625600938637,2024-03-07,176.1272934082111,23.16475361209891,146.5676486876403,0.002539328230992823,Long,Closed,12
18,0,406.1724542179215,2024-03-28,166.5510021152801,27.059371712647025,2024-03-29,168.43863512347292,27.366053525287192,712.2791063624882,0.010529130002373007,Long,Closed,13
19,0,680.6239555044801,2024-05-07,197.5445241309609,53.78141416090593,2024-05-08,199.07275096960353,54.19747327923596,932.1689083849197,0.00693301894662725,Long,Closed,14
20,0,676.3036751139481,2024-05-09,198.72741465500903,53.760032350830436,2024-05-10,200.84704422477807,54.333437657996434,1325.4197979061705,0.009861748514261798,Long,Closed,15
21,0,426.3213739159761,2024-05-23,229.48092501787576,39.13304929645196,2024-05-24,228.0543959419466,38.88978536221948,-686.1826702398736,-0.007013843107821267,Long,Closed,16
22,0,65.56554783253642,2024-05-28,226.0135489058479,5.927480860635073,2024-05-30,225.57224532209077,5.915907136143273,-40.77769922627567,-0.0027517726457513512,Long,Closed,17
23,0,458.3474820550069,2024-05-28,226.01354890584793,41.43709642052462,2024-05-31,225.6881411064336,41.377436482323574,-231.964378405464,-0.002239195295455764,Long,Closed,17
24,0,549.0478452510661,2025-10-30,278.35540880273487,61.13217496684848,2025-10-31,260.70452604279836,57.25570330839956,-9809.567024397551,-0.06418595137318249,Long,Closed,18
25,0,32.430855935583054,2026-09-01,403.36592518200496,5.232600883560312,2026-09-03,403.8057379043991,5.238306284775751,3.7925958702648384,0.00028992051598510766,Long,Closed,19
26,0,453.5476539218388,2026-09-01,404.76414227771977,73.43193084869807,2026-09-07,413.4932248699488,75.01555282093625,3810.607446925814,0.020757223201864784,Long,Closed,19
