number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_coverage,user_attrs_mean_expectancy,system_attrs_tpe:relative_params:0,state
0,0.5067059167707388,2026-09-18 19:00:17.706863,2026-09-18 19:00:24.290071,0 days 00:00:06.583208,0.6232334448672797,0.662397808134481,0.05395030966670229,7,3.3946339367881464,350,0.8661761457749352,1.2022300234864176,0.6624074561769746,0.6291705121166353,-0.0021003954982099144,,COMPLETE
1,0.5104839328254942,2026-09-18 19:00:24.350964,2026-09-18 19:00:28.475691,0 days 00:00:04.124727,0.6733618039413735,0.6727299868828402,0.09330606024425668,3,4.329770563201687,500,0.3042422429595377,1.0495128632644757,0.6849356442713105,0.5684846927216289,-0.0019492914141130348,,COMPLETE
2,0.5121078804274601,2026-09-18 19:00:28.536453,2026-09-18 19:00:32.362938,0 days 00:00:03.826485,0.7824279936868144,0.7465447373174767,0.04091220574443785,4,1.5579754426081673,350,0.7851759613930136,0.39934756431671947,0.7168578594140873,0.47691547578747356,-0.0018104513055721009,,COMPLETE
3,0.5102472251812528,2026-09-18 19:00:32.419713,2026-09-18 19:00:37.851863,0 days 00:00:05.432150,0.9795542149013333,0.6260206371941118,0.011128853174905732,5,3.4301794076057535,400,0.9656320330745594,1.6167946962329223,0.6682096494749166,0.36139404504034794,-0.0018705475006368555,,COMPLETE
4,0.5101790251859739,2026-09-18 19:00:37.909392,2026-09-18 19:00:40.578216,0 days 00:00:02.668824,0.6137554084460873,0.798070764044508,0.04833180632488466,3,2.760609974958405,300,0.9093204020787821,0.5175599632000338,0.6488152939379115,0.423100880432799,-0.001978125584456639,,COMPLETE
5,0.5110980098623691,2026-09-18 19:00:40.634047,2026-09-18 19:00:46.420119,0 days 00:00:05.786072,0.9100531293444458,0.9878338511058234,0.03311829888072381,4,3.1868411173731186,500,0.9394989415641891,1.7896547008552977,0.6739417822102108,0.5034161144286079,-0.0019062847025023801,,COMPLETE
6,0.5111274766799568,2026-09-18 19:00:46.480776,2026-09-18 19:00:56.276749,0 days 00:00:09.795973,0.7554709158757928,0.7301321323053057,0.012260057359187526,7,1.7839314496765808,450,0.2713490317738959,1.6574750183038587,0.6180909155642152,0.44394973218005834,-0.0017994975040600612,,COMPLETE
7,0.5108983345211482,2026-09-18 19:00:56.334626,2026-09-18 19:00:59.440969,0 days 00:00:03.106343,0.9947547746402069,0.6298202574719083,0.03488960745139221,4,1.5636968998990506,300,0.7722447692966574,0.3974313630683448,0.9208787923016158,0.42315678534859646,-0.001767917169031468,,COMPLETE
8,0.5104590548254083,2026-09-18 19:00:59.497503,2026-09-18 19:01:02.573727,0 days 00:00:03.076224,0.7433862914177091,0.6296178606936361,0.05091635945818555,7,3.9160286721639492,150,0.11586905952512971,1.726206851751187,0.9085081386743783,0.4885786962868058,-0.0014470210889551828,,COMPLETE
9,0.5122152003810577,2026-09-18 19:01:02.636191,2026-09-18 19:01:07.896894,0 days 00:00:05.260703,0.8550229885420852,0.8918424713352255,0.011575995526672779,4,2.243929286862649,450,0.8872127425763265,0.9444298503238986,0.7300733288106989,0.35321746100417306,-0.0018064852132299416,,COMPLETE
10,0.510537810300821,2026-09-18 19:01:07.957084,2026-09-18 19:01:12.916469,0 days 00:00:04.959385,0.7927850636540789,0.7650619339780829,0.03765467666831434,3,2.1919339077697355,550,0.8927853407832113,1.2686730620665674,0.7842470720977502,0.4531409494491007,-0.0017603805914934178,"{""colsample_bylevel"": 0.7927850636540789, ""colsample_bytree"": 0.7650619339780829, ""learning_rate"": 0.03765467666831434, ""max_depth"": 3, ""min_child_weight"": 2.1919339077697355, ""n_estimators"": 550, ""reg_alpha"": 0.8927853407832113, ""reg_lambda"": 1.2686730620665674, ""subsample"": 0.7842470720977502}",COMPLETE
11,0.511591870674226,2026-09-18 19:01:12.988864,2026-09-18 19:01:17.868510,0 days 00:00:04.879646,0.7875492157528693,0.8051627481805496,0.04749151270375516,5,1.199816077937116,300,0.811288389356841,0.4249754084192951,0.6841181315924625,0.5364544075125711,-0.0016452769655155353,"{""colsample_bylevel"": 0.7875492157528693, ""colsample_bytree"": 0.8051627481805496, ""learning_rate"": 0.04749151270375516, ""max_depth"": 5, ""min_child_weight"": 1.199816077937116, ""n_estimators"": 300, ""reg_alpha"": 0.811288389356841, ""reg_lambda"": 0.4249754084192951, ""subsample"": 0.6841181315924625}",COMPLETE
12,0.5116686324290277,2026-09-18 19:01:17.932511,2026-09-18 19:01:21.429340,0 days 00:00:03.496829,0.7561452757730258,0.7261347738776032,0.025240878712373294,4,1.5212910174735426,300,0.4960676117739929,0.2260217364784877,0.7124002343808519,0.3900843332501546,-0.0019162001436275914,"{""colsample_bylevel"": 0.7561452757730258, ""colsample_bytree"": 0.7261347738776032, ""learning_rate"": 0.025240878712373294, ""max_depth"": 4, ""min_child_weight"": 1.5212910174735426, ""n_estimators"": 300, ""reg_alpha"": 0.4960676117739929, ""reg_lambda"": 0.2260217364784877, ""subsample"": 0.7124002343808519}",COMPLETE
13,0.5103703015238937,2026-09-18 19:01:21.490334,2026-09-18 19:01:24.781956,0 days 00:00:03.291622,0.7492475279756383,0.7463780396672337,0.020916481657428834,3,1.1604749732458202,350,0.7445933468784338,1.1281979221847365,0.6640284118688501,0.34324759452950093,-0.0021374383992943573,"{""colsample_bylevel"": 0.7492475279756383, ""colsample_bytree"": 0.7463780396672337, ""learning_rate"": 0.020916481657428834, ""max_depth"": 3, ""min_child_weight"": 1.1604749732458202, ""n_estimators"": 350, ""reg_alpha"": 0.7445933468784338, ""reg_lambda"": 1.1281979221847365, ""subsample"": 0.6640284118688501}",COMPLETE
14,0.5104218338615295,2026-09-18 19:01:24.839960,2026-09-18 19:01:28.296282,0 days 00:00:03.456322,0.8316826950930095,0.6843028533294279,0.01291710579028288,4,1.773825632003729,300,0.837263487219157,0.6946780292813348,0.7968937930125695,0.31229498871878714,-0.0020528701044893877,"{""colsample_bylevel"": 0.8316826950930095, ""colsample_bytree"": 0.6843028533294279, ""learning_rate"": 0.01291710579028288, ""max_depth"": 4, ""min_child_weight"": 1.773825632003729, ""n_estimators"": 300, ""reg_alpha"": 0.837263487219157, ""reg_lambda"": 0.6946780292813348, ""subsample"": 0.7968937930125695}",COMPLETE
