Date,Lower,Upper
2022-03-22,0.37507874015748033,0.6249212598425197
2022-03-23,0.3865625,0.6134375000000001
2022-03-24,0.37368217054263564,0.6263178294573644
2022-03-25,0.40499999999999997,0.595
2022-03-28,0.42194656488549614,0.5780534351145038
2022-03-29,0.4386363636363636,0.5613636363636364
2022-03-30,0.4531203007518797,0.5468796992481203
2022-03-31,0.44604477611940296,0.553955223880597
2022-04-01,0.4217407407407407,0.5782592592592593
2022-04-04,0.436985294117647,0.5630147058823529
2022-04-05,0.4728832116788321,0.5271167883211679
2022-04-06,0.4093478260869565,0.5906521739130435
2022-04-07,0.3897482014388489,0.6102517985611511
2022-04-08,0.4038571428571428,0.5961428571428572
2022-04-11,0.4085460992907801,0.5914539007092199
2022-04-12,0.3545774647887323,0.6454225352112677
2022-04-13,0.36136363636363633,0.6386363636363637
2022-04-14,0.39875,0.6012500000000001
2022-04-15,0.38720689655172413,0.6127931034482759
2022-04-18,0.38720689655172413,0.6127931034482759
2022-04-19,0.3900684931506849,0.6099315068493151
2022-04-20,0.41057823129251697,0.589421768707483
2022-04-21,0.42905405405405406,0.5709459459459459
2022-04-22,0.38620805369127514,0.6137919463087249
2022-04-25,0.35,0.65
2022-04-26,0.35,0.65
2022-04-27,0.35,0.65
2022-04-28,0.35,0.65
2022-04-29,0.35,0.65
2022-05-05,0.3590506329113924,0.6409493670886076
2022-05-06,0.35,0.65
2022-05-09,0.35,0.65
2022-05-10,0.35,0.65
2022-05-11,0.35,0.65
2022-05-12,0.35,0.65
2022-05-13,0.35,0.65
2022-05-16,0.35,0.65
2022-05-17,0.35234939759036144,0.6476506024096386
2022-05-18,0.3612874251497006,0.6387125748502994
2022-05-20,0.35,0.65
2022-05-23,0.35,0.65
2022-05-24,0.35,0.65
2022-05-25,0.35,0.65
2022-05-26,0.35,0.65
2022-05-27,0.35821839080459766,0.6417816091954023
2022-05-30,0.3696857142857143,0.6303142857142857
2022-05-31,0.3696857142857143,0.6303142857142857
2022-06-01,0.36772727272727274,0.6322727272727273
2022-06-02,0.3746045197740113,0.6253954802259887
2022-06-03,0.38140449438202245,0.6185955056179775
2022-06-06,0.3808659217877095,0.6191340782122905
2022-06-07,0.3788888888888889,0.6211111111111112
2022-06-08,0.3912983425414364,0.6087016574585635
2022-06-09,0.3921428571428571,0.6078571428571429
2022-06-10,0.36740437158469946,0.6325956284153006
2022-06-13,0.3507065217391304,0.6492934782608696
