Date,Portfolio_Equity,Portfolio_Return,Cash
2022-03-22,1000000.0,0.0,1000000.0
2022-03-23,1000000.0,0.0,1000000.0
2022-03-24,1000000.0,0.0,1000000.0
2022-03-25,1000000.0,0.0,1000000.0
2022-03-28,1000000.0,0.0,1000000.0
2022-03-29,1000000.0,0.0,1000000.0
2022-03-30,1000000.0,0.0,1000000.0
2022-03-31,1000000.0,0.0,1000000.0
2022-04-01,1000000.0,0.0,1000000.0
2022-04-04,1009973.1649647764,0.00997316496477637,0.0
2022-04-05,998777.8761746285,-0.011084738860896679,0.0
2022-04-06,992380.6223199287,-0.006405081657596981,0.0
2022-04-07,1008373.7569566781,0.016115927978683817,0.0
2022-04-08,1016743.1294355547,0.00829987137322553,1016743.1294355547
2022-04-11,1016743.1294355547,0.0,1016743.1294355547
2022-04-12,1016743.1294355547,0.0,1016743.1294355547
2022-04-13,1016743.1294355547,0.0,1016743.1294355547
2022-04-14,1016743.1294355547,0.0,1016743.1294355547
2022-04-15,1031139.1141294399,0.01415892006260926,0.0
2022-04-18,1069714.1097648893,0.037410078918417466,0.0
2022-04-19,1075182.493174895,0.005112004562796207,1075182.493174895
2022-04-20,1075182.493174895,0.0,1075182.493174895
2022-04-21,1075182.493174895,0.0,1075182.493174895
2022-04-22,1075182.493174895,0.0,1075182.493174895
2022-04-25,1075182.493174895,0.0,1075182.493174895
2022-04-26,1075182.493174895,0.0,1075182.493174895
2022-04-27,1075182.493174895,0.0,1075182.493174895
2022-04-28,1075182.493174895,0.0,1075182.493174895
2022-04-29,1075182.493174895,0.0,1075182.493174895
2022-05-05,1075182.493174895,0.0,1075182.493174895
2022-05-06,1074706.4533011136,-0.0004427526273941534,0.0
2022-05-09,1075423.9609620997,0.0006676312948361205,0.0
2022-05-10,1075664.363929822,0.00022354250644305692,1075664.363929822
2022-05-11,1075664.363929822,0.0,1075664.363929822
2022-05-12,1074473.2620199185,-0.0011073174401279,0.0
2022-05-13,1074719.4053531417,0.0002290827905391095,1074719.4053531417
2022-05-16,1074719.4053531417,0.0,1074719.4053531417
2022-05-17,1074719.4053531417,0.0,1074719.4053531417
2022-05-18,1074719.4053531417,0.0,1074719.4053531417
2022-05-20,1074719.4053531417,0.0,1074719.4053531417
2022-05-23,1074719.4053531417,0.0,1074719.4053531417
2022-05-24,1074719.4053531417,0.0,1074719.4053531417
2022-05-25,1074719.4053531417,0.0,1074719.4053531417
2022-05-26,1074719.4053531417,0.0,1074719.4053531417
2022-05-27,1074719.4053531417,0.0,1074719.4053531417
2022-05-30,1074719.4053531417,0.0,1074719.4053531417
2022-05-31,1074719.4053531417,0.0,1074719.4053531417
2022-06-01,1074719.4053531417,0.0,1074719.4053531417
2022-06-02,1074719.4053531417,0.0,1074719.4053531417
2022-06-03,1074719.4053531417,0.0,1074719.4053531417
2022-06-06,1074719.4053531417,0.0,1074719.4053531417
2022-06-07,1074719.4053531417,0.0,1074719.4053531417
2022-06-08,1074719.4053531417,0.0,1074719.4053531417
2022-06-09,1074719.4053531417,0.0,1074719.4053531417
2022-06-10,1074719.4053531417,0.0,1074719.4053531417
2022-06-13,1074719.4053531417,0.0,1074719.4053531417
2022-06-14,1074719.4053531417,0.0,1074719.4053531417
2022-06-15,1074719.4053531417,0.0,1074719.4053531417
2022-06-16,1074719.4053531417,0.0,1074719.4053531417
2022-06-17,1074719.4053531417,0.0,1074719.4053531417
2022-06-20,1074719.4053531417,0.0,1074719.4053531417
2022-06-21,1074719.4053531417,0.0,1074719.4053531417
2022-06-22,1074719.4053531417,0.0,1074719.4053531417
2022-06-23,1074719.4053531417,0.0,1074719.4053531417
2022-06-24,1074719.4053531417,0.0,1074719.4053531417
2022-06-27,1074719.4053531417,0.0,1074719.4053531417
2022-06-28,1074719.4053531417,0.0,1074719.4053531417
2022-06-29,1074719.4053531417,0.0,1074719.4053531417
2022-06-30,1074719.4053531417,0.0,1074719.4053531417
2022-07-01,1074719.4053531417,0.0,1074719.4053531417
2022-07-04,1074719.4053531417,0.0,1074719.4053531417
2022-07-05,1074719.4053531417,0.0,1074719.4053531417
2022-07-06,1074719.4053531417,0.0,1074719.4053531417
2022-07-07,1074719.4053531417,0.0,1074719.4053531417
2022-07-08,1074719.4053531417,0.0,1074719.4053531417
2022-07-13,1074719.4053531417,0.0,1074719.4053531417
2022-07-14,1074719.4053531417,0.0,1074719.4053531417
2022-07-18,1074719.4053531417,0.0,1074719.4053531417
2022-07-19,1074719.4053531417,0.0,1074719.4053531417
2022-07-20,1074719.4053531417,0.0,1074719.4053531417
2022-07-21,1074719.4053531417,0.0,1074719.4053531417
2022-07-22,1074719.4053531417,0.0,1074719.4053531417
2022-07-25,1074719.4053531417,0.0,1074719.4053531417
2022-07-26,1074719.4053531417,0.0,1074719.4053531417
2022-07-27,1074719.4053531417,0.0,1074719.4053531417
2022-07-28,1074719.4053531417,0.0,1074719.4053531417
2022-07-29,1074719.4053531417,0.0,1074719.4053531417
2022-08-01,1074719.4053531417,0.0,1074719.4053531417
2022-08-02,1074719.4053531417,0.0,1074719.4053531417
2022-08-03,1074719.4053531417,0.0,1074719.4053531417
2022-08-04,1074719.4053531417,0.0,1074719.4053531417
2022-08-05,1074719.4053531417,0.0,1074719.4053531417
2022-08-08,1074719.4053531417,0.0,1074719.4053531417
2022-08-09,1074719.4053531417,0.0,1074719.4053531417
2022-08-10,1074719.4053531417,0.0,1074719.4053531417
2022-08-11,1074719.4053531417,0.0,1074719.4053531417
2022-08-12,1080850.673212768,0.005704994093422605,0.0
2022-08-15,1090072.0536460516,0.008531595216454349,1090072.0536460516
2022-08-16,1090072.0536460516,0.0,1090072.0536460516
2022-08-17,1090072.0536460516,0.0,1090072.0536460516
2022-08-18,1079609.514155291,-0.0095980256128626,0.0
2022-08-19,1098419.4333725534,0.01742289130526947,1098419.4333725534
2022-08-22,1098419.4333725534,0.0,1098419.4333725534
2022-08-23,1098419.4333725534,0.0,1098419.4333725534
2022-08-24,1098419.4333725534,0.0,1098419.4333725534
2022-08-25,1098419.4333725534,0.0,1098419.4333725534
2022-08-26,1094430.5852012173,-0.003631443554388758,0.0
2022-08-29,1097777.4051014015,0.003058046755490518,0.0
