Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,4186.23765228152,2022-09-09,71.28390254073722,119.36454272704019,2022-09-15,72.82558040512076,121.94607469646873,6212.519306147869,0.02081864233453146,Long,Closed,0
1,0,754.1240811351761,2022-11-18,105.01581995485937,31.677983491246167,2022-11-21,104.23277268624243,31.4417775704737,-653.63456299288,-0.008253487008395016,Long,Closed,1
2,0,1217.5050999247287,2022-11-23,109.25375847710409,53.20680325272752,2022-11-25,109.40998904633295,53.28288785864763,83.72182368891706,0.0006294069071674608,Long,Closed,2
3,0,1134.3380989347268,2022-12-07,133.63911574282167,60.63677619801211,2022-12-08,131.87803257921416,59.8377107068631,-2118.1382147773857,-0.013972630786706144,Long,Closed,3
4,0,1237.0011054768552,2022-12-12,139.20746475585716,68.87991511745027,2022-12-13,142.62362169293755,70.57023108051061,4086.339761452887,0.023730225302891757,Long,Closed,4
5,0,678.2015993819622,2022-12-30,139.40272081535946,37.81725928606957,2023-01-02,139.10695218145602,37.73702298184544,-276.14504282824294,-0.0029208361265879905,Long,Closed,5
6,0,481.12808973348183,2023-01-16,132.66204120732849,25.530973786490563,2023-01-17,141.158453986634,27.166118926528323,4035.1657573813845,0.06321992715399753,Long,Closed,6
7,0,1311.7889610469074,2023-02-15,132.8590047578423,69.71319032680644,2023-02-16,147.60305897943834,77.44962535439313,19193.92475328553,0.11013080688636907,Long,Closed,7
8,0,523.7095947263979,2023-03-29,116.25032665013507,24.352564582701444,2023-03-30,121.23009873631912,25.395746351135557,2558.2061101514396,0.042019494110589584,Long,Closed,8
9,0,540.6143766928741,2023-04-03,115.64393147478872,25.007508773022536,2023-04-05,125.1373425748796,27.060418582848477,5080.206597208976,0.08125889937008636,Long,Closed,9
10,0,753.20739626867,2023-04-10,125.23840344791363,37.7321967095393,2023-04-11,130.21667873091897,39.23206621506775,3672.709500896527,0.03893448906957498,Long,Closed,10
11,0,540.5743963063338,2023-05-15,125.96839861226937,27.238116413401258,2023-05-17,132.75662582665393,28.70593314476372,3613.597778847995,0.05306677927362248,Long,Closed,11
12,0,697.6023818942058,2023-06-02,147.4141754068115,41.13459195550478,2023-06-05,150.92625255933797,42.114605310304256,2366.78418973287,0.02301502533238221,Long,Closed,12
13,0,237.19663472348282,2023-06-19,176.81805765070436,16.77625929323594,2023-06-20,169.4882077251902,16.080812999091886,-1771.4728076524652,-0.04223761153636221,Long,Closed,13
14,0,19.216876016559468,2023-06-19,175.16894253219616,1.3464799402372176,2023-06-23,179.55089124304394,1.3801628862721314,81.48072226077461,0.024205551030019697,Long,Closed,13
15,0,648.6743989922304,2023-06-19,175.16894253219616,45.45104340767076,2023-06-26,181.6984645172241,47.14525690740858,4142.937449029475,0.036460658664045305,Long,Closed,13
16,0,382.84737171197395,2023-08-17,249.00965208233055,38.133076332253324,2023-08-18,256.918587125282,39.3442423299472,2950.4376755724843,0.03094885552757752,Long,Closed,14
17,0,240.65767470111112,2023-12-13,241.8780095990948,23.283919740580476,2023-12-14,238.84664013756014,22.99211081027132,-775.7983563237458,-0.01332762464339958,Long,Closed,15
18,0,385.29150238275565,2023-12-18,245.93254138728813,37.90228734236699,2023-12-19,240.01843777399478,36.99082579580176,-2353.546979551247,-0.024838046931489163,Long,Closed,16
19,0,45.13292366376115,2023-12-20,239.33816622414142,4.320812474407501,2023-12-21,236.3076617088625,4.266102262827194,-145.36244368800055,-0.013456954639803818,Long,Closed,17
20,0,248.93130448340347,2023-12-20,239.33816622414142,23.831504772336473,2023-12-22,239.33518230360872,23.8312076558442,-48.405503658861846,-0.0008124623958290839,Long,Closed,17
21,0,46.744219962051034,2023-12-28,217.35842590748956,4.064100028489946,2023-12-29,223.70583331553826,4.182781871718178,288.45772617037227,0.02839080968954905,Long,Closed,18
22,0,270.9853417876321,2023-12-28,217.35842590748956,23.560378933985106,2024-01-02,228.10073698128804,24.724782469154043,2862.7236765191988,0.048602336737289226,Long,Closed,18
23,0,140.12627476367422,2024-03-26,279.8591757439291,15.68624950217168,2024-03-28,277.4339781950907,15.550315942937791,-371.07046352982786,-0.00946231190517415,Long,Closed,19
24,0,11.129167124830275,2024-03-26,279.8591757439291,1.2458398153085737,2024-03-29,291.35569971014434,1.2970185099384242,125.40387824937936,0.04026324306173148,Long,Closed,19
25,0,28.290385319955845,2024-03-26,279.85917574392914,3.166929566848398,2024-04-01,290.8666854312062,3.291492243034884,304.94826865632984,0.03851658361443158,Long,Closed,19
26,0,208.93858195791503,2024-03-26,279.85917574392914,23.38935173113899,2024-04-02,297.45969425369896,24.860322682801133,3629.177704741402,0.062065468875903244,Long,Closed,19
27,0,31.018533031408708,2025-09-08,313.20329414713257,3.88604269001954,2025-09-10,318.24958371682067,3.9486540899009097,148.6938029235046,0.015305421456680594,Long,Closed,20
28,0,315.420133451595,2025-09-08,313.2032941471325,39.51624993494709,2025-09-11,323.24845374741653,40.78362816761275,3088.1457035615967,0.031259501684956455,Long,Closed,20
29,0,217.80397021224482,2025-10-30,292.75115241659057,25.504945312217377,2025-10-31,290.24884336879,25.286940174093782,-595.8047307952967,-0.009344144415944219,Long,Closed,21
30,0,553.5389194246147,2026-01-30,302.25145992177863,66.92317860784544,2026-02-02,300.24861543965994,66.47971765968242,-1242.0552666750648,-0.007423767325537392,Long,Closed,22
