Date,Close
2021-09-17,1277.699951171875
2021-09-20,1239.4000244140625
2021-09-21,1245.0
2021-09-22,1273.199951171875
2021-09-23,1240.0
2021-09-24,1203.0
2021-09-27,1215.300048828125
2021-09-28,1206.0999755859375
2021-09-29,1225.199951171875
2021-09-30,1244.0999755859375
2021-10-01,1241.699951171875
2021-10-04,1236.5999755859375
2021-10-05,1240.199951171875
2021-10-06,1230.9000244140625
2021-10-07,1249.0
2021-10-08,1242.0
2021-10-11,1257.800048828125
2021-10-12,1261.699951171875
2021-10-13,1246.4000244140625
2021-10-14,1244.4000244140625
2021-10-15,1215.699951171875
2021-10-18,1204.5
2021-10-19,1234.800048828125
2021-10-20,1248.5
2021-10-21,1247.300048828125
2021-10-22,1271.199951171875
2021-10-25,1273.5
2021-10-26,1286.0
2021-10-27,1323.199951171875
2021-10-28,1346.5999755859375
2021-11-01,1377.0999755859375
2021-11-02,1390.300048828125
2021-11-03,1422.0999755859375
2021-11-04,1450.699951171875
2021-11-05,1463.5999755859375
2021-11-08,1478.699951171875
2021-11-09,1465.5
2021-11-10,1484.0999755859375
2021-11-11,1463.0
2021-11-12,1472.300048828125
2021-11-15,1615.5999755859375
2021-11-16,1619.5999755859375
2021-11-17,1620.4000244140625
2021-11-18,1669.699951171875
2021-11-19,1652.9000244140625
2021-11-22,1644.0
2021-11-23,1592.9000244140625
2021-11-24,1624.0
2021-11-25,1602.800048828125
2021-11-26,1548.300048828125
2021-11-29,1542.300048828125
2021-11-30,1535.5999755859375
2021-12-01,1578.300048828125
2021-12-02,1594.800048828125
2021-12-03,1610.0
2021-12-06,1660.4000244140625
2021-12-07,1663.0999755859375
2021-12-08,1697.0
2021-12-09,1697.5999755859375
2021-12-10,1669.0
2021-12-13,1719.800048828125
2021-12-14,1790.800048828125
2021-12-15,1768.5
2021-12-16,1846.800048828125
2021-12-17,1685.4000244140625
2021-12-20,1649.0999755859375
2021-12-21,1619.5999755859375
2021-12-22,1675.9000244140625
2021-12-23,1680.199951171875
2021-12-24,1679.4000244140625
2021-12-27,1703.199951171875
2021-12-28,1617.699951171875
2021-12-29,1629.5
2021-12-30,1626.300048828125
2021-12-31,1595.699951171875
2022-01-03,1628.300048828125
2022-01-04,1619.300048828125
2022-01-05,1635.5
2022-01-06,1631.5999755859375
2022-01-07,1691.199951171875
2022-01-10,1689.699951171875
2022-01-11,1695.9000244140625
2022-01-12,1711.300048828125
2022-01-13,1706.0999755859375
2022-01-14,1712.800048828125
2022-01-17,1759.0999755859375
2022-01-18,1680.0999755859375
2022-01-19,1774.800048828125
2022-01-20,1757.800048828125
2022-01-21,1763.9000244140625
2022-01-24,1696.300048828125
2022-01-25,1725.300048828125
2022-01-26,1720.5999755859375
2022-01-27,1738.5
2022-01-28,1726.0
2022-01-31,1765.199951171875
2022-02-01,1769.300048828125
2022-02-02,1817.199951171875
2022-02-03,1750.4000244140625
2022-02-04,1743.0
2022-02-07,1750.5999755859375
2022-02-08,1765.5
2022-02-09,1787.9000244140625
2022-02-10,1781.199951171875
2022-02-11,1790.4000244140625
2022-02-14,1763.199951171875
2022-02-15,1783.0999755859375
2022-02-16,1777.0
2022-02-17,1747.5
2022-02-18,1762.5
2022-02-21,1758.9000244140625
2022-02-22,1744.0
2022-02-23,1722.0999755859375
2022-02-24,1576.300048828125
2022-02-25,1631.0
2022-02-28,1601.800048828125
2022-03-01,1635.699951171875
2022-03-02,1641.0
2022-03-03,1655.5
2022-03-04,1645.300048828125
2022-03-07,1629.0999755859375
2022-03-08,1618.5999755859375
2022-03-09,1662.0
2022-03-10,1645.0999755859375
2022-03-11,1655.300048828125
2022-03-14,1673.5999755859375
2022-03-15,1685.800048828125
2022-03-16,1688.0999755859375
2022-03-17,1712.0999755859375
2022-03-18,1713.0
2022-03-21,1730.699951171875
2022-03-22,1758.199951171875
2022-03-23,1762.4000244140625
2022-03-24,1729.4000244140625
2022-03-25,1714.4000244140625
2022-03-28,1707.800048828125
2022-03-29,1723.0
2022-03-30,1750.0999755859375
2022-03-31,1739.4000244140625
2022-04-01,1757.800048828125
2022-04-04,1814.4000244140625
2022-04-05,1808.800048828125
2022-04-06,1799.0999755859375
2022-04-07,1864.5
2022-04-08,1965.4000244140625
2022-04-11,2082.0
2022-04-12,2079.5
2022-04-13,2046.9000244140625
2022-04-14,2085.60009765625
2022-04-15,2112.800048828125
2022-04-18,2168.300048828125
2022-04-19,2139.39990234375
2022-04-20,2153.800048828125
2022-04-21,2188.10009765625
2022-04-22,2108.300048828125
2022-04-25,2168.60009765625
2022-04-26,2120.0
2022-04-27,2128.0
2022-04-28,2117.0
2022-04-29,2105.199951171875
2022-05-05,2093.199951171875
2022-05-06,2095.10009765625
2022-05-09,2105.60009765625
2022-05-10,2097.300048828125
2022-05-11,2061.800048828125
2022-05-12,2023.9000244140625
2022-05-13,2018.800048828125
2022-05-16,1966.5
2022-05-17,1943.5
2022-05-18,2012.0
2022-05-20,2027.0999755859375
2022-05-23,2015.5999755859375
2022-05-24,2001.9000244140625
2022-05-25,2034.0999755859375
2022-05-26,2034.0
2022-05-27,2007.199951171875
2022-05-30,2057.199951171875
2022-05-31,2093.800048828125
2022-06-01,2118.89990234375
2022-06-02,2154.39990234375
2022-06-03,2150.10009765625
2022-06-06,2236.199951171875
2022-06-07,2201.800048828125
2022-06-08,2073.89990234375
2022-06-09,2093.800048828125
2022-06-10,2133.5
2022-06-13,2137.199951171875
2022-06-14,2094.5
2022-06-15,2115.699951171875
2022-06-16,2071.699951171875
2022-06-17,2179.5
2022-06-20,2175.39990234375
2022-06-21,2203.39990234375
2022-06-22,2188.39990234375
2022-06-23,2136.800048828125
2022-06-24,2115.300048828125
2022-06-27,2064.199951171875
2022-06-28,2017.800048828125
2022-06-29,1939.699951171875
2022-06-30,1942.4000244140625
2022-07-01,1976.199951171875
2022-07-04,1922.0
2022-07-05,1894.0
2022-07-06,1919.199951171875
2022-07-07,1959.699951171875
2022-07-08,1951.300048828125
2022-07-13,1931.5
2022-07-14,1933.699951171875
2022-07-18,2017.9000244140625
2022-07-19,2080.699951171875
2022-07-20,2092.199951171875
2022-07-21,2098.39990234375
2022-07-22,2120.39990234375
2022-07-25,2205.39990234375
2022-07-26,2165.39990234375
2022-07-27,2183.5
2022-07-28,2133.199951171875
2022-07-29,2162.60009765625
2022-08-01,2215.60009765625
2022-08-02,2204.300048828125
2022-08-03,2262.5
2022-08-04,2348.89990234375
2022-08-05,2445.10009765625
2022-08-08,2435.10009765625
2022-08-09,2419.89990234375
2022-08-10,2491.89990234375
2022-08-11,2578.89990234375
2022-08-12,2539.10009765625
2022-08-15,2577.10009765625
2022-08-16,2671.800048828125
2022-08-17,2881.300048828125
2022-08-18,2867.699951171875
2022-08-19,2805.800048828125
2022-08-22,2905.39990234375
2022-08-23,3131.199951171875
2022-08-24,3015.199951171875
2022-08-25,3237.0
2022-08-26,3265.300048828125
2022-08-29,3269.800048828125
2022-08-31,3282.60009765625
2022-09-01,3363.300048828125
2022-09-02,3633.199951171875
2022-09-05,3908.5
2022-09-06,4195.89990234375
2022-09-07,4113.10009765625
2022-09-08,4252.39990234375
2022-09-09,4570.89990234375
2022-09-12,4844.39990234375
2022-09-13,4482.2001953125
2022-09-14,4061.5
2022-09-15,3660.60009765625
2022-09-16,3485.39990234375
2022-09-19,3160.800048828125
2022-09-20,3256.300048828125
2022-09-21,3126.300048828125
2022-09-22,3135.39990234375
2022-09-23,3025.5
2022-09-26,3021.199951171875
2022-09-27,3085.300048828125
2022-09-28,2983.5
2022-09-29,2952.39990234375
2022-09-30,2964.699951171875
2022-10-03,3253.800048828125
2022-10-04,3251.699951171875
2022-10-05,3214.199951171875
2022-10-06,3317.39990234375
2022-10-07,3303.89990234375
2022-10-10,3266.800048828125
2022-10-11,3334.39990234375
2022-10-12,3299.60009765625
2022-10-13,3310.60009765625
2022-10-14,3437.60009765625
2022-10-17,3778.39990234375
2022-10-18,3771.199951171875
2022-10-19,3967.39990234375
2022-10-20,3950.0
2022-10-21,3912.300048828125
2022-10-24,3868.300048828125
2022-10-25,3916.60009765625
2022-10-26,3925.89990234375
2022-10-27,3818.60009765625
2022-10-28,3688.0
2022-10-31,3733.60009765625
2022-11-01,3731.0
2022-11-02,3670.10009765625
2022-11-03,3597.699951171875
2022-11-04,3721.60009765625
2022-11-07,3846.300048828125
2022-11-08,3817.0
2022-11-09,3772.199951171875
2022-11-10,3916.300048828125
2022-11-11,3831.800048828125
2022-11-14,3884.89990234375
2022-11-15,4128.7998046875
2022-11-16,4250.10009765625
2022-11-17,3972.800048828125
2022-11-18,4147.2001953125
2022-11-21,4242.2998046875
2022-11-22,4342.7998046875
2022-11-23,4530.10009765625
2022-11-24,4449.10009765625
2022-11-25,4347.60009765625
2022-11-28,4480.89990234375
2022-11-29,4478.60009765625
2022-11-30,4461.2998046875
2022-12-01,4513.7001953125
2022-12-02,4361.5
