Date,Probability,Lower_Threshold,Upper_Threshold,Signal,OBV,OBV_Change_5D,Conviction_Proxy,CMF_20,VIX_Percentile,Decision_Allocation,Observed_Bar,Valid_Feature_Row,Volatility,Target_Allocation,Available_Volatility,Available_Average_Volume,Execution_Open_Present,Mocked_Order_Size,Slippage,Order_Target
2022-03-22,0.4776707887649536,0.37507874015748033,0.6249212598425197,0,574695770.0,105604874.0,7,0.023392151646023707,65.35433070866141,0.0,True,True,0.038403013563509926,0.0,0.038375499459308,20926038.85,True,0.0,0.0,0.0
2022-03-23,0.49083375930786133,0.3865625,0.6134375000000001,0,558748263.0,66181346.0,7,0.045796140052037894,60.9375,0.0,True,True,0.03763690760576822,0.0,0.038403013563509926,21286325.4,True,0.0,0.0,0.0
2022-03-24,0.477615624666214,0.37368217054263564,0.6263178294573644,0,580751178.0,56224064.0,7,0.07645974980802375,65.89147286821705,0.0,True,True,0.02827625537158015,0.0,0.03763690760576822,21338613.2,True,0.0,0.0,0.0
2022-03-25,0.49488794803619385,0.40499999999999997,0.595,0,566256842.0,24041870.0,7,0.02327224054825896,53.84615384615385,0.0,True,True,0.02637228651609628,0.0,0.02827625537158015,21389396.75,True,0.0,0.0,0.0
2022-03-28,0.48966479301452637,0.42194656488549614,0.5780534351145038,0,549700750.0,-6221588.0,3,-0.03969816508860201,47.32824427480916,0.0,True,True,0.026931699617735567,0.0,0.02637228651609628,21212100.7,True,0.0,0.0,0.0
2022-03-29,0.4707069993019104,0.4386363636363636,0.5613636363636364,0,572812178.0,-1883592.0,5,0.02119038078092495,40.909090909090914,0.0,True,True,0.028138598202043872,0.0,0.026931699617735567,21086925.8,True,0.0,0.0,0.0
2022-03-30,0.5030840635299683,0.4531203007518797,0.5468796992481203,0,594791038.0,36042775.0,7,0.057828675110092986,35.338345864661655,0.0,True,True,0.028702550347464162,0.0,0.028138598202043872,21637287.9,True,0.0,0.0,0.0
2022-03-31,0.47732430696487427,0.44604477611940296,0.553955223880597,0,581846364.0,1095186.0,7,0.047164629202415244,38.059701492537314,0.0,True,True,0.02904865015070005,0.0,0.028702550347464162,22183372.4,True,0.0,0.0,0.0
2022-04-01,0.48210811614990234,0.4217407407407407,0.5782592592592593,0,565786235.0,-470607.0,5,0.0714262563890992,47.40740740740741,0.0,True,True,0.026509735485107377,0.0,0.02904865015070005,22013719.6,True,0.0,0.0,0.0
2022-04-04,0.47936496138572693,0.436985294117647,0.5630147058823529,0,580342097.0,30641347.0,7,0.11315328512397281,41.544117647058826,0.0,True,True,0.02558428646822032,0.0,0.026509735485107377,21822711.85,True,0.0,0.0,0.0
2022-04-05,0.4892914295196533,0.4728832116788321,0.5271167883211679,0,561917458.0,-10894720.0,5,0.14097925546490847,27.73722627737226,0.0,True,True,0.02505293443601539,0.0,0.02558428646822032,21491607.05,True,0.0,0.0,0.0
2022-04-06,0.48446375131607056,0.4093478260869565,0.5906521739130435,0,546140362.0,-48650676.0,5,0.07863244069948108,52.17391304347826,0.0,True,True,0.024719815932756118,0.0,0.02505293443601539,21317104.9,True,0.0,0.0,0.0
2022-04-07,0.44781020283699036,0.3897482014388489,0.6102517985611511,0,559470192.0,-22376172.0,5,0.09256966736888805,59.71223021582733,0.0,True,True,0.0244609932681954,0.0,0.024719815932756118,20771835.1,True,0.0,0.0,0.0
2022-04-08,0.46387332677841187,0.4038571428571428,0.5961428571428572,0,582424415.0,16638180.0,7,0.13872574326625922,54.285714285714285,0.0,True,True,0.0256456835924457,0.0,0.0244609932681954,20450856.25,True,0.0,0.0,0.0
2022-04-11,0.47324392199516296,0.4085460992907801,0.5914539007092199,0,619593001.0,39250904.0,7,0.08718553196199415,52.4822695035461,0.0,True,True,0.020291277695718386,0.0,0.0256456835924457,20705921.6,True,0.0,0.0,0.0
2022-04-12,0.46785300970077515,0.3545774647887323,0.6454225352112677,0,598471392.0,36553934.0,7,0.16136803651516712,73.23943661971832,0.0,True,True,0.020156257721969252,0.0,0.020291277695718386,20164713.3,True,0.0,0.0,0.0
2022-04-13,0.4583178460597992,0.36136363636363633,0.6386363636363637,0,579754137.0,33613775.0,7,0.07683050041097422,70.62937062937063,0.0,True,True,0.022169285389039957,0.0,0.020156257721969252,19601633.0,True,0.0,0.0,0.0
2022-04-14,0.44774240255355835,0.39875,0.6012500000000001,0,563741003.0,4270811.0,5,-0.001743596790106699,56.25,0.0,True,True,0.021416130531682443,0.0,0.022169285389039957,19363694.7,True,0.0,0.0,0.0
2022-04-15,0.46858349442481995,0.38720689655172413,0.6127931034482759,0,573456376.0,-8968039.0,3,-0.04764663223827228,60.689655172413794,0.0,True,True,0.02124956283096659,0.0,0.021416130531682443,18566341.55,True,0.0,0.0,0.0
2022-04-18,0.4994560480117798,0.38720689655172413,0.6127931034482759,0,585655114.0,-33937887.0,5,0.007367397553271103,60.689655172413794,0.0,True,True,0.021291820742088474,0.0,0.02124956283096659,18167717.3,True,0.0,0.0,0.0
2022-04-19,0.5162578821182251,0.3900684931506849,0.6099315068493151,0,609700414.0,11229022.0,7,0.053864921965703035,59.589041095890416,0.0,True,True,0.021369220598593464,0.0,0.021291820742088474,18092285.9,True,0.0,0.0,0.0
2022-04-20,0.48319292068481445,0.41057823129251697,0.589421768707483,0,591181671.0,11427534.0,7,0.036329778518117445,51.70068027210885,0.0,True,True,0.021972019539283332,0.0,0.021369220598593464,18355879.3,True,0.0,0.0,0.0
2022-04-21,0.4843592345714569,0.42905405405405406,0.5709459459459459,0,569947180.0,6206177.0,7,0.004316347151930805,44.5945945945946,0.0,True,True,0.02191506222961061,0.0,0.021972019539283332,18484441.1,True,0.0,0.0,0.0
2022-04-22,0.49759477376937866,0.38620805369127514,0.6137919463087249,0,549273027.0,-24183349.0,3,-0.009439112659028163,61.07382550335571,0.0,True,True,0.02409607372232183,0.0,0.02191506222961061,18446019.9,True,0.0,0.0,0.0
2022-04-25,0.5099632143974304,0.35,0.65,0,564379229.0,-21275885.0,5,0.05577841916946586,84.0,0.0,True,True,0.023803891531385676,0.0,0.02409607372232183,18755010.75,True,0.0,0.0,0.0
2022-04-26,0.49308717250823975,0.35,0.65,0,550406619.0,-59293795.0,3,-0.008905786212881548,78.1456953642384,0.0,True,True,0.02226779122274678,0.0,0.023803891531385676,18682516.25,True,0.0,0.0,0.0
2022-04-27,0.4889124929904938,0.35,0.65,0,563375985.0,-27805686.0,3,-0.03912137693772423,98.68421052631578,0.0,True,True,0.021011198191636014,0.0,0.02226779122274678,18225575.35,True,0.0,0.0,0.0
2022-04-28,0.5075841546058655,0.35,0.65,0,573969571.0,4022391.0,5,-0.03605325903958321,94.77124183006535,0.0,True,True,0.020880389332599558,0.0,0.021011198191636014,17775100.65,True,0.0,0.0,0.0
2022-04-29,0.4748418927192688,0.35,0.65,0,584671789.0,35398762.0,5,-0.005430717176845174,87.01298701298701,0.0,True,True,0.020704430655362656,0.0,0.020880389332599558,17657546.25,True,0.0,0.0,0.0
2022-05-05,0.50818932056427,0.3590506329113924,0.6409493670886076,0,570925602.0,6546373.0,5,-0.08700940679781906,71.51898734177216,0.0,True,True,0.02046044021006962,0.0,0.020704430655362656,17389650.7,True,0.0,0.0,0.0
2022-05-06,0.5023084282875061,0.35,0.65,0,552325510.0,1918891.0,5,-0.07870651485888606,93.08176100628931,0.0,True,True,0.02091713392756834,0.0,0.02046044021006962,17349166.95,True,0.0,0.0,0.0
2022-05-09,0.47165486216545105,0.35,0.65,0,568170683.0,4794698.0,5,-0.010756080604219849,86.25,0.0,True,True,0.021526582632530093,0.0,0.02091713392756834,17357939.6,True,0.0,0.0,0.0
2022-05-10,0.4860801696777344,0.35,0.65,0,573790123.0,-179448.0,3,-0.009515490423765875,98.75776397515527,0.0,True,True,0.02213295865248445,0.0,0.021526582632530093,17361343.45,True,0.0,0.0,0.0
2022-05-11,0.4760083258152008,0.35,0.65,0,553059078.0,-31612711.0,3,-0.13334453013894831,96.29629629629629,0.0,True,True,0.02041349102801771,0.0,0.02213295865248445,16975823.95,True,0.0,0.0,0.0
2022-05-12,0.46779632568359375,0.35,0.65,0,529378485.0,-41547117.0,3,-0.19859740788263996,95.70552147239265,0.0,True,True,0.020262594988599305,0.0,0.02041349102801771,16864665.05,True,0.0,0.0,0.0
2022-05-13,0.4984552562236786,0.35,0.65,0,544174532.0,-8150978.0,3,-0.21596761669072667,92.3780487804878,0.0,True,True,0.02032430248625293,0.0,0.020262594988599305,16190265.4,True,0.0,0.0,0.0
2022-05-16,0.502335250377655,0.35,0.65,0,531353106.0,-36817577.0,3,-0.17983138343740607,80.60606060606061,0.0,True,True,0.019454173723134006,0.0,0.02032430248625293,15873987.3,True,0.0,0.0,0.0
2022-05-17,0.5075879096984863,0.35234939759036144,0.6476506024096386,0,518305805.0,-55484318.0,3,-0.1715278717580877,74.09638554216868,0.0,True,True,0.019267212407810493,0.0,0.019454173723134006,15579195.85,True,0.0,0.0,0.0
2022-05-18,0.5216192007064819,0.3612874251497006,0.6387125748502994,0,534917699.0,-18141379.0,3,-0.1765621912740808,70.65868263473054,0.0,True,True,0.019204397148219105,0.0,0.019267212407810493,15430904.2,True,0.0,0.0,0.0
2022-05-20,0.46088364720344543,0.35,0.65,0,527080779.0,-2297706.0,3,-0.24342898795174872,81.06508875739645,0.0,True,True,0.018837056428245562,0.0,0.019204397148219105,15775730.25,True,0.0,0.0,0.0
2022-05-23,0.47308260202407837,0.35,0.65,0,543018212.0,-1156320.0,3,-0.2677143378525266,81.17647058823529,0.0,True,True,0.01930663389640513,0.0,0.018837056428245562,15557639.35,True,0.0,0.0,0.0
2022-05-24,0.4540412724018097,0.35,0.65,0,529255969.0,-2097137.0,3,-0.2790312085756783,77.19298245614034,0.0,True,True,0.01917159258173726,0.0,0.01930663389640513,15152246.0,True,0.0,0.0,0.0
