Date,Close,High,Low,Open,Volume
2024-09-25,284.51751708984375,290.62304320765156,284.51751708984375,289.8903800735146,25711329
2024-09-26,284.51751708984375,290.13460111822695,283.7848539557068,286.47128544754224,28959484
2024-09-27,285.494384765625,287.6923740409805,283.5406165208645,285.494384765625,19847298
2024-09-30,278.4120178222656,285.00598666542453,278.16779675400045,285.00598666542453,21334664
2024-10-01,271.32958984375,280.36576880344285,267.9104951022446,278.65622143269013,34658869
2024-10-02,265.22406005859375,275.2371230994799,264.97983900881604,270.5969231537034,37339145
2024-10-03,262.5376281738281,271.08536490506907,262.5376281738281,265.7125018168605,27014849
2024-10-04,267.42205810546875,268.398942335991,263.7587422410103,264.73562647153256,25552239
2024-10-07,264.2471618652344,269.13158260211486,263.2702777178583,268.3989194915828,19065238
2024-10-08,264.49139404296875,266.20094137288635,262.53762566592,263.75873090157546,24186666
2024-10-09,264.0029296875,264.9798137936517,258.8742881302035,264.49137174057586,23956358
2024-10-10,260.3396301269531,266.20093512043053,260.3396301269531,264.97982991345606,16761536
2024-10-11,258.6300964355469,264.73562279143795,257.6532122186043,260.8280859236677,17775777
2024-10-14,251.79190063476562,258.87431103089386,251.54767958662327,258.6300899827515,19868260
2024-10-15,261.8049621582031,262.53762529857124,251.54767819304965,251.791899239839,30713391
2024-10-16,263.02606201171875,263.7587251370996,257.89742013405294,260.82807263557623,19268275
2024-10-17,267.1778259277344,268.64315221253,263.0260681208135,263.2702891682794,24972591
2024-10-18,261.8049621582031,268.64315146830546,260.5838569242563,267.4220462343586,20698103
2024-10-21,263.2702941894531,265.7125047106911,260.09542051184377,261.80496787671035,24074749
2024-10-22,268.39892578125,270.1084730792198,263.2702838873408,264.2471680576092,26819572
2024-10-23,261.56072998046875,268.8873610723586,261.07228790767607,268.8873610723586,24305349
2024-10-24,267.42205810546875,268.15472127836046,263.7587422410103,263.7587422410103,18918442
2024-10-25,269.6200256347656,270.3526887479036,265.46826799365056,266.44515214450115,17216815
2024-10-28,271.57379150390625,273.527559788107,269.8642442552306,272.06223357495645,7035135
2024-10-30,271.0853576660156,273.52756809543916,270.1084734942462,271.32957870895797,14799003
2024-10-31,266.200927734375,272.550674634461,266.200927734375,271.32956946136756,14473937
2024-11-01,266.6893615722656,268.3989087618314,265.22403540978064,266.6893615722656,19991989
2024-11-04,262.2934265136719,266.6894057289848,260.8281001085676,265.71252145891526,18418359
2024-11-05,265.95672607421875,267.4220523886773,264.00295765494076,265.95672607421875,31196076
2024-11-06,270.8411560058594,274.50447191216045,263.7587452536773,266.68939797871815,30758235
2024-11-07,276.2140197753906,276.4582408362,269.6200511335378,271.8180406808221,24069867
2024-11-08,283.5406494140625,283.7848704729893,274.9929123516231,275.48135446947674,23348584
2024-11-11,281.3426513671875,284.51752503712976,279.8773250579834,284.0290829340617,21162079
2024-11-12,279.8773193359375,284.0290771271338,279.63309828939657,282.807971894429,20609050
2024-11-13,277.1908874511719,281.3426452367841,275.48134012768446,279.38887686708426,31922085
2024-11-14,279.8773193359375,282.3195298013471,277.4351088705279,278.90043514977367,28667480
2024-11-15,283.05218505859375,286.9597216944328,280.36575362145436,281.0984167406742,40033524
2024-11-18,282.0753173828125,285.7386331929789,280.3657700047348,284.2733068689123,26338290
